Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2021-11-28 11:09PM","2021-11-29 7:17AM","420","68","37","488","88","240","92"
"2021-11-28 1:37AM","2021-11-28 9:27AM","387","83","43","470","59","261","67"
"2021-11-27 2:33AM","2021-11-27 8:40AM","315","52","26","367","57","192","66"
"2021-11-26 12:11AM","2021-11-26 7:15AM","351","73","41","424","62","223","66"
"2021-11-25 12:21AM","2021-11-25 7:17AM","348","68","37","416","66","225","57"
"2021-11-24 2:48AM","2021-11-24 7:46AM","240","58","20","298","57","131","52"
"2021-11-22 11:29PM","2021-11-23 6:43AM","350","84","31","434","68","221","61"
"2021-11-22 1:34AM","2021-11-22 6:52AM","273","45","27","318","66","133","74"
"2021-11-21 2:34AM","2021-11-21 7:20AM","243","43","29","286","43","131","69"
"2021-11-20 1:03AM","2021-11-20 7:15AM","299","73","42","372","67","164","68"
"2021-11-19 4:05PM","2021-11-19 6:47PM","151","11","1","162","N/A","N/A","N/A"
"2021-11-18 11:50PM","2021-11-19 6:47AM","360","57","33","417","42","251","67"
"2021-11-18 12:09AM","2021-11-18 8:32AM","430","72","47","502","120","226","84"
"2021-11-17 1:20AM","2021-11-17 8:20AM","344","75","45","419","48","220","76"
"2021-11-16 5:30PM","2021-11-16 7:45PM","122","13","0","135","N/A","N/A","N/A"
"2021-11-16 12:39AM","2021-11-16 8:40AM","385","96","35","481","23","317","45"
"2021-11-15 5:07PM","2021-11-15 6:28PM","73","7","0","80","N/A","N/A","N/A"
"2021-11-15 12:37AM","2021-11-15 7:26AM","358","51","34","409","113","188","57"
"2021-11-14 12:34AM","2021-11-14 7:25AM","342","69","39","411","51","256","35"
"2021-11-13 1:02AM","2021-11-13 8:20AM","378","60","37","438","105","221","52"
"2021-11-11 11:18PM","2021-11-12 7:47AM","413","96","44","509","87","252","74"
"2021-11-11 12:28AM","2021-11-11 8:23AM","405","70","39","475","108","229","68"
"2021-11-09 10:55PM","2021-11-10 7:11AM","413","83","37","496","94","236","83"
"2021-11-08 10:44PM","2021-11-09 7:49AM","449","96","33","545","126","240","83"
"2021-11-08 12:46AM","2021-11-08 6:00AM","266","48","29","314","37","183","46"
"2021-11-07 12:27AM","2021-11-07 8:23AM","409","67","37","476","110","224","75"
"2021-11-06 2:47PM","2021-11-06 4:13PM","82","4","0","86","N/A","N/A","N/A"
"2021-11-06 3:20AM","2021-11-06 7:03AM","196","27","22","223","28","154","14"
"2021-11-05 12:48AM","2021-11-05 6:31AM","300","43","31","343","80","166","54"
"2021-11-03 11:37PM","2021-11-04 7:27AM","410","60","30","470","100","218","92"
"2021-11-02 9:56PM","2021-11-03 7:01AM","470","75","40","545","112","260","98"
"2021-11-01 10:58PM","2021-11-02 6:58AM","370","110","35","480","76","232","62"
"2021-10-31 10:50PM","2021-11-01 7:50AM","450","90","43","540","77","291","82"

